Name,,,,,,,,,
8848 Altitude,sportswear),,,,,,,,
Acne Studios,womenswear,footwear,jewelry,bags,accessories),,,,
Adidas,sportswear),,,,,,,,
A fish named Fred,menswear,,,,,,,,
Alexander McQueen,womenswear,bodywear,footwear,eyewear,bags,jewelry,accessories),,
ALICE'S LIPS,womenswear,,,,,,,,
Alpha Industries,womenswear,kidswear),,,,,,,
AlphaTauri,womenswear,bags,accessories),,,,,,
Amicci,menswear),,,,,,,,
Any Di,accessories,,,,,,,,
Ao76,kidswear),,,,,,,,
a.p.c.,womenswear,,,,,,,,
ARMA,womenswear,,,,,,,,
Armani Exchange,womenswear,bodywear,swimwear,footwear,jewelry,bags,accessories),,
ARMEDANGELS,womenswear,accessories,sustainable),,,,,,
Artuyt,accessories),,,,,,,,
Australian Footwear,footwear),,,,,,,,
Balenciaga,womenswear,kidswear,footwear,bags,accessories),,,,
Balr.,menswear,footwear,bags,eyewear),,,,,
Barbour,footwear,womenswear,accessories),,,,,,
Barons & Daughters,footwear),,,,,,,,
Base Range,sportswear),,,,,,,,
Baum und Pferdgarten,womenswear),,,,,,,,
Belén Esoarte,womenswear),,,,,,,,
Belstaff,footwear,womenswear,accessories),,,,,,
Berluti,footwear,,,,,,,,
BERNHARD WILLHELM,womenswear,,,,,,,,
Bethany Williams,womenswear),,,,,,,,
Bibi Studio,footwear),,,,,,,,
Birkenstock,footwear),,,,,,,,
Blauer,footwear),,,,,,,,
Bless,womenswear),,,,,,,,
BLK Denim,womenswear),,,,,,,,
Blue Bird Denim,womenswear),,,,,,,,
Blum,footwear),,,,,,,,
BODE,womenswear),,,,,,,,
Boglioli,menswear),,,,,,,,
BONJOUR,footwear),,,,,,,,
BOSS,womenswear,bodywear,footwear,eyewear,bags,accessories),,,
Bottega Veneta,womenswear,footwear,bags,accessories),,,,,
Boys of England,footwear),,,,,,,,
BRUNELLO CUCINELLI,womenswear,cashmere),,,,,,,
By Far,footwear,,,,,,,,
By Malene Birger,womenswear),,,,,,,,
CALVIN KLEIN,womenswear,underwear,swimwear,footwear,fragrances,jewelry,watches),,
CAMPER,footwear),,,,,,,,
Canali,menswear),,,,,,,,
Caroline Constas,womenswear),,,,,,,,
Casablanca,menswear),,,,,,,,
Castañer,footwear),,,,,,,,
CAYL,footwear),,,,,,,,
Celine,womenswear,footwear,bags,accessories),,,,,
Cerruti 1881,menswear),,,,,,,,
CHACHAFINE,footwear),,,,,,,,
Chanel,womenswear,menswear,fragrances,cosmetics,eyewear,watches,jewelry,bags,shoes)
Charles Jeffrey Loverboy,womenswear,,,,,,,,
Charlotte Chesnais,jewelry),,,,,,,,
Chloé,womenswear,shoes,fragrances,eyewear),,,,,
Christian Dior,womenswear,menswear,fragrances,cosmetics,eyewear,watches,jewelry,bags,shoes)
CIRCOLO 1901,footwear),,,,,,,,
CMMN SWDN,footwear),,,,,,,,
Coperni,womenswear),,,,,,,,
COS,womenswear,,,,,,,,
CRAIG GREEN,menswear),,,,,,,,
Crockett & Jones,footwear),,,,,,,,
D&G Dolce & Gabbana,womenswear,bags,shoes,fragrances,watches,eyewear,jewelry),,
Daizy,footwear),,,,,,,,
David Naman,footwear),,,,,,,,
De Bonne Facture,footwear),,,,,,,,
Deveaux,womenswear),,,,,,,,
DIOR,womenswear,menswear,fragrances,cosmetics,eyewear,watches,jewelry,bags,shoes)
Dirk Bikkembergs,menswear),,,,,,,,
DISSH,footwear),,,,,,,,
Dita Von Teese,lingerie),,,,,,,,
Dsquared2,womenswear,footwear),,,,,,,
DUCHAMP,footwear),,,,,,,,
ECCO,footwear),,,,,,,,
Edward Arsouni,jewelry),,,,,,,,
EFTERKLANG,womenswear),,,,,,,,
Études Studio,womenswear,,,,,,,,
EYTYS,footwear),,,,,,,,
Faith Connexion,womenswear),,,,,,,,
LVMH,,,,,,,,,
Nike,,,,,,,,,
HermÃ¨s,,,,,,,,,
TJX,,,,,,,,,
Inditex,,,,,,,,,
Luxottica Group,,,,,,,,,
Kering,,,,,,,,,
Fast Retailing,,,,,,,,,
Compagnie FinanciÃ¨re Richemont,,,,,,,,,
Lululemon Athletica,,,,,,,,,
Rolex SA,,,,,,,,,
Ross Stores,,,,,,,,,
Li Ning,,,,,,,,,
Chow Tai Fook Jewellery,,,,,,,,,
Hennes & Mauritz,,,,,,,,,
Authentic Brands Group,,,,,,,,,
Armani,,,,,,,,,
VF,,,,,,,,,
Moncler SpA,,,,,,,,,
Prada,,,,,,,,,
Swatch Group,,,,,,,,,
Swarovski,,,,,,,,,
Primark,,,,,,,,,
PUIG,,,,,,,,,
Deckers Outdoor,,,,,,,,,
Dickâ€™s Sporting Goods,,,,,,,,,
Burberry Group,,,,,,,,,
Pentland Brands,,,,,,,,,
Patek Phillippe,,,,,,,,,
Burlington Coat Company,,,,,,,,,
Next,,,,,,,,,
PUMA,,,,,,,,,
Tapestry,,,,,,,,,
C&A,,,,,,,,,
Max Mara,,,,,,,,,
Audemars Piguet,,,,,,,,,
Levi Strauss & Co.,,,,,,,,,
Ralph Lauren,,,,,,,,,
JD Sports,,,,,,,,,
Zalando,,,,,,,,,
Lojas Renner S.A.,,,,,,,,,
Capri Holdings,,,,,,,,,
Dolce & Gabbana,,,,,,,,,
Vipshop Holdings,,,,,,,,,
Gildan Activewear,,,,,,,,,
Skechers,,,,,,,,,
Tory Burch,,,,,,,,,
On Running,,,,,,,,,
Valentino,,,,,,,,,
New Balance,,,,,,,,,
Columbia Sportswear,,,,,,,,,
Dillardâ€™s,,,,,,,,,
Macys,,,,,,,,,
Aditya Birla,,,,,,,,,
Veepee,,,,,,,,,
Bestseller,,,,,,,,,
Academy Sports + Outdoors,,,,,,,,,
Frasers Group,,,,,,,,,
Hugo Boss,,,,,,,,,
Asics,,,,,,,,,
OTB Group,,,,,,,,,
Farfetch,,,,,,,,,
Gap,,,,,,,,,
El Corte InglÃ©s Group,,,,,,,,,
Calzedonia Group,,,,,,,,,
PVH,,,,,,,,,
Belle International,,,,,,,,,
Under Armour,,,,,,,,,
Foot locker,,,,,,,,,
Tom Ford,,,,,,,,,
Vera Wang,,,,,,,,,
Lacoste,,,,,,,,,
MANGO MNG Holding,,,,,,,,,
Nordstrom,,,,,,,,,
Carters,,,,,,,,,
Alpargatas,,,,,,,,,
Zegna,,,,,,,,,
J. Crew,,,,,,,,,
Chopard,,,,,,,,,
Hanesbrands Inc.,,,,,,,,,
Salvatore Ferragamo,,,,,,,,,
Victoriaâ€™s Secret,,,,,,,,,
Longchamp,,,,,,,,,
Marks & Spencer Group,,,,,,,,,
Lao Feng Xiang Jewelry,,,,,,,,,
NewYorker,,,,,,,,,
J.C. Penney,,,,,,,,,
Steve Madden,,,,,,,,,
Urban Outfitters,,,,,,,,,
American Eagle Outfitters,,,,,,,,,
Triumph International,,,,,,,,,
Semir,,,,,,,,,
Furla,,,,,,,,,
Benetton Group,,,,,,,,,
Canada Goose,,,,,,,,,
The Buckle Inc.,,,,,,,,,
Oxford Industries,,,,,,,,,
Tendam - Grupo Cortefiel,,,,,,,,,
TODS,,,,,,,,,
Grendene,,,,,,,,,
Takko Fashion,,,,,,,,,
s Oliver Group,,,,,,,,,
New Look,,,,,,,,,
Wolverine,,,,,,,,,
Eroglu Group,,,,,,,,,
Russell Athletic,,,,,,,,,
Varner Group,,,,,,,,,
Neiman Marcus,,,,,,,,,
Guararapes,,,,,,,,,
Cole Haan,,,,,,,,,
Bogner,,,,,,,,,
Hudsons Bay,,,,,,,,,
Bosco di Ciliegi,,,,,,,,,
Holy Fashion Group,,,,,,,,,
Selfridges Group,,,,,,,,,
Elie Taharie,,,,,,,,,
DvF (Diane von Furstenberg),,,,,,,,,
ShopKo Stores,,,,,,,,,
Babochka,,,,,,,,,
Eddie Bauer,,,,,,,,,
Wortmann Group,,,,,,,,,
Lindex,,,,,,,,,
Breitling,,,,,,,,,
Monsoon Accessorize,,,,,,,,,
Barneys New York,,,,,,,,,
Christian Louboutin,,,,,,,,,
Ascena Retail Group,,,,,,,,,
Liu Jo,,,,,,,,,
New Era,,,,,,,,,
Frederique Constant,,,,,,,,,
Excellent Retail Brands,,,,,,,,,
Groupe Zannier,,,,,,,,,
Patagonia,,,,,,,,,
Paul Smith,,,,,,,,,
De Rigo S.p.A.,,,,,,,,,
IC Group,,,,,,,,,
Mikimoto,,,,,,,,,
Pepe Jeans Group,,,,,,,,,
Sociedad Textil Lonia,,,,,,,,,
Ulysse Nardin,,,,,,,,,
Manolo Blahnik,,,,,,,,,
Kurt Geiger,,,,,,,,,
CBR Fashion,,,,,,,,,
St. John,,,,,,,,,
Marzotto Group,,,,,,,,,
Groupe GO Sport,,,,,,,,,
Bally,,,,,,,,,
G-star,,,,,,,,,
Designer Brands (DSW),,,,,,,,,
Marc O Polo,,,,,,,,,
Guess,,,,,,,,,
Woolrich,,,,,,,,,
Abercrombie & Fitch,,,,,,,,,
G-III Apparel Group,,,,,,,,,
Metersbonwe,,,,,,,,,
Chicos,,,,,,,,,
Caleres,,,,,,,,,
ASOS,,,,,,,,,
Genesco,,,,,,,,,
Boohoo,,,,,,,,,
Arvind Fashions,,,,,,,,,
Childrens Place Inc,,,,,,,,,
Allbirds,,,,,,,,,
Van de Velde,,,,,,,,,
SMCP,,,,,,,,,
Peek & Cloppenburg,,,,,,,,,
Desigual,,,,,,,,,
True Religion,,,,,,,,,
Onward Holdings,,,,,,,,,
Esprit,,,,,,,,,
Ted Baker,,,,,,,,,
Damartex,,,,,,,,,
Fossil,,,,,,,,,
BCBG Maxazria,,,,,,,,,
Rent the Runway,,,,,,,,,
Supergroup,,,,,,,,,
Rue21,,,,,,,,,
Aldo,,,,,,,,,
ESCADA,,,,,,,,,
Express,,,,,,,,,