NFT,Sector,Project,Blockchain,Contract Address,Latest Transaction,Marketplace URL,Brand Owner,Native Web 3,Twitter Followers,People,Utility,Description,Notes,Date Launched,Total NFTs,Initial Sale Revenue $,Royalty Revenue $,Onchain Ramp,Royalty,Marketplace,URLs,Twitter URL,Category,,,,,,,,,,,,,,,,,,
Cartier,Fashion,,Polygon,0x2953399124F0cBB46d2CbACD8A89cF0599974963,5 Nov 2021,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/1394090956607098383899503020224759074774719385077748416512869612280508055553,,,,,,"In partnership with artist Natalia Gudovich and Infinity Art, has unveiled the Medaglioni non-fungible token (NFT) collection on the Binance NFT marketplace.","Cartier NFT Series contains 31 different tokensrarities from six works by Natalia Gudovich. The token price will increase after each purchase of NFTs from the collection. One NFT token, created from all six of the artist's works, will become an exclusive lot and will be sold through an auction.",,,,,,,,https://newdaycrypto.com/jewelry-brand-cartier-presented-the-nft-collection/,,,,,,,,,,,,,,,,,,,,,,
,,,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,7 Nov 2021,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/62457743714961175535582678346491509743294973411643828671614852731688080900097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain,Fashion,,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,14 Nov 2021,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/96599909867797379877705579081651743899328829161481842110261784644590241841153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DressX,Fashion Store,,Ethereum,0x0B509F4b044F713A91bB50535914f7ad160532fe,,https://opensea.io/assets/ethereum/0x0b509f4b044f713a91bb50535914f7ad160532fe/103,,,,,,"Largest fashion store for digital-only collections from well-known brands and 3D designers. DRESSX provides a digital solution for dressing up people�s images. Through the use of digital clothing, the user can simply layer fashion items on top of a photo to create a whole new outfit.

",,,,,,,,,https://crypto.com/nft/drops-event/494dc9b74a05def9130e7a0d18a9b423,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yerb,Food & Beverage,,Ethereum,0xd07dc4262BCDbf85190C01c996b4C06a461d2430,4 Feb 2022,https://yerbamatenft.com/index_en,,,,,"acquiring a membership pass to a club, with benefits, gifts, and access to a community that can help you enter the world of cryptocurrencies, NFTs, and guide you through the web3.","Yerb will pack its first yerba mate drink in 12-ounce cans but sold via NFTs for 0.039 ETH (about $77). The firm made the tokens available on February 2021, and each one entitled the bearer to six cans of Yerb�s inaugural release, as well as an extra six-pack of cans for each year during the NFT food event.",,"Feb, 2021",,,,,,,https://www.cronj.com/blog/nft-in-food-and-beverage-industry/#4_Taco_Bell,,,,,,,,,,,,,,,,,,,,,,
Pizza Hut,Food & Beverage,,Ethereum,0xbd29e2d63fa738d74821f00451ecbaa50ecfca50,,https://rarible.com/pizzahut, Yum Brands Inc,NO,,Rarible,,"Pizza Hut published their NFT in Canada as part of the 1 Byte Favorites initiative in March 2021. This made Pizza Hut one of the first food-tech businesses to utilize Food NFTs. The yummy NFT food tokens for the world�s first NFT pizza were digital representations of pizza slices. On Rarible, each NFTs byte costs roughly 17 cents, which is a deal by today�s standards.",,"March, 2021",,,,,,Rarible,https://finance.yahoo.com/news/pizza-hut-offers-worlds-first-153342683.html,,,,,,,,,,,,,,,,,,,,,,
Taco Bell,Food & Beverage,Taco NFT,Ethereum,0x7e826df5844371eb363171f8b6977f7772e043ae,,https://rarible.com/tacobell?tab=created,,,,Rarible,,The fast-food chain tweeted that it was selling taco-themed GIFs and images on NFT marketplace Rarible.Taco Bell does say that all the proceeds will go to the Live M�s Scholarship through the Taco Bell Foundation. Taco Bell also told The Verge that the NFTs included a real-world perk in the form of a $500 electronic Taco Bell gift card. ,,"March, 2021",,,,,,Rarible,https://www.theverge.com/2021/3/8/22319868/taco-bell-nfts-gif-tacos-sell,,,,,,,,,,,,,,,,,,,,,,
Pringles,Food & Beverage,CryptoCrisp,Ethereum,0xd07dc4262BCDbf85190C01c996b4C06a461d2430,2 Jan 2023,https://opensea.io/assets/ethereum/0xd07dc4262bcdbf85190c01c996b4c06a461d2430/322068,The Kellogg Company,YES,,Rarible,,"Pringles announced the release of a limited-edition flavor that it's calling CryptoCrisp. All 50 packages of the new flavor only exist as NFT artwork, and they're being auctioned off exclusively on the Rarible platform.",,"March, 2021",,,,,,Rarible,https://hypebeast.com/2021/3/pringles-cryptocrisp-nft-release-info,,,,,,,,,,,,,,,,,,,,,,
PizzaDAO ,Food & Beverage,Rare Pizzas,Polygon,0x9C23a1FA4da99e1f72FFA94e3033801B2F18FE23,7 Feb 2022,https://www.rarepizzas.com/mint,,YES,,,,"PizzaDAO is behind the NFT project, Rare Pizzas, a collection of 10,000 baked pizza NFTs created in collaboration with more than 300 artists from around the globe.","Proceeds from the sale of the pizza NFTs were used to buy free pizza for people worldwide on May 22, which is Bitcoin Pizza Day. In 2021, the project spent over $300,000 at more than 300 pizzerias in over 60 countries to throw the world�s largest pizza party. The organization has made the concept an annual event and is already at work organizing the global 2022 pizza party. ","May, 2021",,,,,,,https://cryptoslate.com/pizzadao-to-host-worlds-biggest-pizza-party-on-may-22-to-commemorate-first-btc-purchase/,,,,,,,,,,,,,,,,,,,,,,
Coffee Brothers,Food & Beverage,Crypto Baristas,,,,https://rarible.com/cryptobaristas,,YES,,,"Holders will enjoy for life at all future cafe spaces, our coffee partners� website (Coffee Bros.), exclusive coffees, and discounts on Crypto Barista merchandise.","Crypto Baristas is an NFT project that was launched in 2021 to raise funds to create the world�s first NFT-funded cafe. Holders of Crypto Baristas NFTs are entitled to perks at the cafe � and all future cafe spaces for life. They also control the �Barista Bank,� which is a treasury fund where 15% of the project�s revenue will be kept for charity and future developments.",,"Jun, 2021",,,,,,Rarible,https://dailycoffeenews.com/2021/11/04/coffee-bros-launches-crypto-baristas-nfts-to-fund-future-new-york-cafe/,,,,,,,,,,,,,,,,,,,,,,
Campbell's Soup,Food & Beverage,AmeriCANa � SOPHIA CHANG X CAMPBELL�S,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,31 Jan 2023,https://opensea.io/collection/americana-campbells-x-sophiachang,,,,"Street-style artist and illustrator, Sophia Chang",,"The collection of 100 Campbell�s authenticated NFT art pieces titled �AmeriCANa � SOPHIA CHANG X CAMPBELL�S�  will be exclusively available for purchase via the leader in drop culture, NTWRK",,"July, 2021",100,,,NO,,Opensea,https://www.campbellsoupcompany.com/newsroom/press-releases/campbells-commissions-first-official-nft-collection-by-artist-sophia-chang-to-celebrate-changes-to-its-iconic-soup-can-labels/,,,,,,,,,,,,,,,,,,,,,,
Coco- cola,Food & Beverage,,Ethereum,0x455f04c9C54fFfa699e9F6b1271E857A1f2bDdfa,3 Aug 2021; only 1 transaction,https://opensea.io/assets/ethereum/0x455f04c9c54fffa699e9f6b1271e857a1f2bddfa/1,,NO,,,"The winning bidder will also receive an in-real-life Coca-Cola refrigerator. The retro, made-in-Italy SMEG FAB28�which officially hits the market in November�will be fully stocked with ice-cold Coca-Cola to share with friends. Additional surprises will be unveiled to the auction�s highest bidder. ","On International Friendship Day, July 30, 2021 four unique Coca-Cola NFTs will be up for auction as a single �loot box� through the OpenSea online marketplace.","Coca-Cola proceeds from the auction, which is open for all to bid, will go to longtime Coca-Cola partner and friend, Special Olympics International.","July, 2021",4,,,NO,,Opensea,https://www.coca-colacompany.com/news/coca-cola-to-offer-first-ever-nft-collectibles,,,,,,,,,,,,,,,,,,,,,,
"James Beard Foundation, Stella Artois",Food & Beverage,Chef's Special NFT Collection,,,,https://www.charitybuzz.com/catalog_items/auction-exclusive-marcus-samuelsson-fried-chicken-2253300,,YES,,chef Marcus Samuelsson,"All proceeds from the auction will be donated to the James Beard Foundation�s Food and Beverage Investment Fund for Black and Indigenous Americans to help create a more delicious, equitable, and sustainable restaurant industry.","Stella and the James Beard Foundation have teamed up to sell an exclusive NFT recipe by chef Marcus Samuelsson in an online auction on charitybuzz from 6-16 July, an innovative CSR initiative supported by Christie�s. This isn�t just a recipe. This is rare. This is iconic. This is the ultimate fried chicken recipe in its most unique form.",,"Jul, 2021",,,,,,CharityBuzz,https://www.christies.com/about-us/strategic-partnerships/stella-artois,,,,,,,,,,,,,,,,,,,,,,
Hello Fam,Food & Beverage,,Ethereum,0x8744C9F3C2DCA15b306fEFCB1175Ecb22Ecbe01F,26 Aug 2023,https://opensea.io/collection/hello-fam-wine,,YES,,,"Buy a Grape Fam NFT and you'll receive membership in the world's first NFT winery and wine club. You'll also receive tokenized ownership of one case (six 750ml bottles) of our upcoming Genesis Vintage 2021 wine release, which will be stored in an insured, temperature-controlled facility and never sold outside of the NFT.","Hello Fam beautifully describes itself as �The official winery of the NFT age� � and for good reason.  collectors need to become members. In order to gain membership, each collector must purchase at least one Grape Fam NFT. ",,"August, 2021",,,,,,Secondary Market - Opensea,https://hellofam.wine/,https://wineindustryadvisor.com/2021/09/07/hello-fam-launches-as-worlds-first-all-nft-wine-brand,,,,,,,,,,,,,,,,,,,,,
Bacardi,Food & Beverage,,Polygon,0x2953399124F0cBB46d2CbACD8A89cF0599974963,28 Mar 2023,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/55912774569372054983195018772296118291982296980416535199225340326922241966081,,NO,,photographer Cam Kirk,,"It unveiled its first token in August 2021 with the limited-edition Reserva Ocho Sherry Cask Finish.Designed by photographer Cam Kirk, the first Bacardi NFT was launched in partnership with the NAACP to support black-owned establishments to get liquor licenses.",,"August, 2021",,,,,,,https://www.lifestyleasia.com/ind/gear/tech/alcohol-and-food-nfts-burger-king-pizza-hut-bacardi-budlight-hennesey/,,,,,,,,,,,,,,,,,,,,,,
Burger King,Food & Beverage,Keep it Real Meals NFT,Polygon,0x35368c20F70766d528AFA8C91b1b47E2735cC7Fc,22 Sept 2021,https://sweet.io/burgerking,,NO,,Sweet.io,"some of these collectible tokens have an impressive utility included, such as the once-in-a-lifetime opportunity to call one of the campaign's partners celebrities.",The Burger King �Keep It Real Meals� initiative will showcase QR codes tethered to close to six million meal boxes. Scanning the QR codes will unlock a digital collectible and Burger King�s announcement says �collecting them can lead to unlocking bonus NFTs.�,,"September, 2021",,,,,,Sweet.io,https://news.bitcoin.com/burger-king-launches-keep-it-real-meals-nft-campaign-with-digital-collectibles-market-sweet/,,,,,,,,,,,,,,,,,,,,,,
Freed's Bakery,Food & Beverage,Bakery NFT wedding cakes,,,No transaction,https://opensea.io/collection/freedsbakery,,NO,,,,"This bakery introduced the world�s first bakery NFT food � Bakery NFT wedding cakes. The Bakery NFT tokens, which are bakery NFT GIFs of their baked cakes, cost.1 ETH (about US$337 at the time of publication). Someone did bid.09 ETH ($304.37) for one of their Bakery NFT � the �Taste the Rainbow CAKE#ONE,� according to the transaction logs on OpenSea.",,"September, 2021",,,,,,Opensea,https://freedsbakery.com/collections/nft-dessert-collection,,,,,,,,,,,,,,,,,,,,,,
McDonald�s,Food & Beverage,McRib NFTs,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,,,,,,,,"McDonald's US has launched its first non-fungible tokens (NFTs). In a bid to do something big on the 40th anniversary of the McRib, McDonalds is releasing a limited edition of 10 McRib NFTs in the US. These NFTs are not available for purchase, but will be given away to lucky winners, the company revealed on Twitter. The deadline to try and bag one of the McRib NFTs is October 7.",a limited series NFTs of the McRib as part of promotional giveaway for the sandwich's 40th anniversary.,"October, 2021",10,,,,,,https://www.marketwatch.com/story/mcdonalds-put-a-mcrib-nft-on-the-menu-for-20-heres-how-to-get-one-11635791187,,,,,,,,,,,,,,,,,,,,,,
Bacardi,Food & Beverage,,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,19 Oct 2021,https://opensea.io/collection/bacardi-cask-nft,,NO,,Caribbean producer Boi-1da,,"Bacardi will release another NFT beverage in October 2021. It was created to complement the brand�s Music Liberates Music program, launched in 2017 to assist budding musicians in gaining professional exposure. The Caribbean producer Boi-1da co-created this new NFT drink. They collaborated with musicians Bambii, Denise De�ion, and Perfxn to compose Caribbean-inspired soundscapes and then mint them as NFT beverage mixtapes for auction.",,"October, 2021",,,,,,,https://www.lifestyleasia.com/ind/gear/tech/alcohol-and-food-nfts-burger-king-pizza-hut-bacardi-budlight-hennesey/,,,,,,,,,,,,,,,,,,,,,,
Glenfiddich,Food & Beverage,,Ethereum,0x9dB475371B5cC2913D3219f72e16a3F101339a05,8 Dec 2023,https://blockbar.com/brands/Glenfiddich,William Grant and Sons,,,Blockbar,,"A Scotch Whisky brand owned by William Grants and Sons launched an NFT each of 15 bottles of a rare 46-Year-Old Single Malt, which was sold within a matter of seconds.The NFT contained a revolving image/artistic impression of the bottle that would also function as a proof of authentication and certify its ownership. ",,"October, 2021",,,,,,Blockbar,https://bartenderspiritsawards.com/en/blog/insights-1/spirits-brands-that-have-succeeded-in-the-world-of-nfts-420.htm,,,,,,,,,,,,,,,,,,,,,,
Chipotle,Food & Beverage,Virtual Restuarant,Polygon,0x2953399124F0cBB46d2CbACD8A89cF0599974963,,,,YES,,,,"Chipotle was among the first major food industry names to offer virtual dining experiences to the public. For Halloween 2021, Chipotle created a virtual restaurant) inside the gaming platform Roblox to give away $1 million worth of burritos. Anyone could enter the virtual space and get a promo code, redeemable at any Chipotle location in the physical world. ",,"Oct, 2021",,,,,,,https://www.prnewswire.com/news-releases/chipotle-to-open-virtual-restaurant-on-roblox-with-1-million-in-free-burritos-and-serve-up-5-digital-entree-offer-for-boorito-301408455.html,,,,,,,,,,,,,,,,,,,,,,
Dictador,Food & Beverage,,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,3 Jan 2022,https://blockbar.com/brands/Dictador,,NO,,Blockbar,"The NFT drink included an invitation to a dinner for two with Parra, a visit to the Parra family�s private distillery in Cartagena, spirit sampling, and a stay at a premium hotel in Cartagena de Indias.","Issued 10 bottles as NFT drinks in November 2021. While each NFT beverage was sold for $25,000, owners may redeem them for 1976 Dictador Generations rum in a Lalique�s crystal decanter.",,"Nov, 2021",10,,,,,Blockbar,https://bartenderspiritsawards.com/en/blog/insights-1/spirits-brands-that-have-succeeded-in-the-world-of-nfts-420.htm,,,,,,,,,,,,,,,,,,,,,,
Quiznos,Food & Beverage,Out of this World,Ethereum,,,https://crypto.com/nft/drops-event/db53bcc87b9c21b9b6e863eb59b13704,High Bluff Capital Partners,NO,,"artwork � created by Sameer Baloch, Crypto.com and The NFT Agency",,"Quiznos, in collaboration with Crypto.com and The NFT Agency, announced today�s launch of a series of non-fungible tokens, marking the international fast casual restaurant chain�s entry into the NFT space by featuring a collection of Quiznos �Out of this World� sandwich coins, available for 24 hours. Proceeds from the one-day sale of each token will support a nonprofit organization focused on ending hunger for communities and countries in crisis.",,"November, 2021",,,,,,Crytpo.com,https://www.businesswire.com/news/home/20211114005317/en/Quiznos-Takes-One-Small-Step-into-the-NFT-Galaxy-with-the-November-15th-Launch-of-%E2%80%9COut-of-This-World%E2%80%9D-Sandwich-Tokens-via-Crypto.com,,,,,,,,,,,,,,,,,,,,,,
,,,,,,https://crypto.com/nft/drops-event/db53bcc87b9c21b9b6e863eb59b13704?tab=info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumpling Mafia,Food & Beverage,,Ethereum,0xaa839178cbaA8bB6Fe829D2F91eEe345cEF74e20,No transaction,https://www.dumplingmafianft.com/,,YES,,,"In addition to supporting a good cause, anyone who purchases a dumpling mafia boss is invited to all in-person and virtual Dumpling Mafia events, including a preview of the forthcoming Dumpling Mafia restaurant.","Dumpling Mafia, another example of a food art NFT project, was launched to raise funds for a charitable cause. The project, which features 88 dumpling mafia bosses, was created to raise money for #StopAsianHate organizations. ",,"Nov, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
